version,created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,patches,conductor,rollbacks,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
1.36.0-wmf.10,2020-05-30 00:34:06,2020-09-19 11:16:03,5,6,11,4,"https://gerrit.wikimedia.org/r/#/q/0f876f17,n,z",9715317.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-18 13:54:25,2020-09-18 14:58:45,1,0,1,1,"https://gerrit.wikimedia.org/r/#/q/0323e783,n,z",3860.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-14 12:18:40,2020-09-15 11:49:28,52,52,104,2,"https://gerrit.wikimedia.org/r/#/q/9f878897,n,z",84648.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-09 14:55:06,2020-09-21 00:53:23,3,6,9,1,"https://gerrit.wikimedia.org/r/#/q/eeffc4bf,n,z",986297.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-03 10:10:35,2020-09-21 01:00:27,7,10,17,1,"https://gerrit.wikimedia.org/r/#/q/a4813c26,n,z",1522192.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-18 23:05:42,2020-09-18 23:13:34,150,130,280,0,"https://gerrit.wikimedia.org/r/#/q/036fda97,n,z",472.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-14 20:47:13,2020-09-18 19:51:45,1,1,2,4,"https://gerrit.wikimedia.org/r/#/q/e7833ee9,n,z",342272.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-21 14:47:03,2020-09-21 15:18:03,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/f0779654,n,z",1860.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 17:11:35,2020-09-19 18:48:36,6,7,13,1,"https://gerrit.wikimedia.org/r/#/q/e7df071a,n,z",5821.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-18 22:00:24,2020-09-18 22:27:06,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/b6af22c4,n,z",1602.0,381,Ahmon Dancy,1,108,0,0,4,1809157
